id	en	ru
4	Afghanistan	Афганистан
8	Albania	Албания
10	Antarctica	Антарктика
12	Algeria	Алжир
16	American Samoa	Американское Самоа
20	Andorra	Андорра
24	Angola	Ангола
28	Antigua and Barbuda	Антигуа и Барбуда
31	Azerbaijan	Азербайджан
32	Argentina	Аргентина
36	Australia	Австралия
40	Austria	Австрия
44	Bahamas	Багамские Острова
48	Bahrain	Бахрейн
50	Bangladesh	Бангладеш
51	Armenia	Армения
52	Barbados	Барбадос
56	Belgium	Бельгия
60	Bermuda	Бермудские Острова
64	Bhutan	Бутан
68	Bolivia	Боливия
70	Bosnia and Herzegovina	Босния и Герцеговина
72	Botswana	Ботсвана
74	Bouvet Island	Остров Буве
76	Brazil	Бразилия
84	Belize	Белиз
86	British Indian Ocean Territory	Британская территория в Индийском океане
90	Solomon Islands	Соломоновы Острова
92	Virgin Islands	Виргинские Острова
96	Brunei Darussalam	Бруней
100	Bulgaria	Болгария
104	Myanmar	Мьянма
108	Burundi	Бурунди
112	Belarus	Беларусь
116	Cambodia	Камбоджа
120	Cameroon	Камерун
124	Canada	Канада
132	Cape Verde	Капе Верде
136	Cayman Islands	Острова Кайман
140	Central African Republic	Центральная Африкальная Республика
144	Sri Lanka	Шри Ланка
148	Chad	Чад
152	Chile	Чили
156	China	Китай
158	Taiwan, Province of China	Тайвань, Провинция Китая
162	Christmas Island	Остров Рождества
166	Cocos (Keeling) Islands	Кокосовые острова
170	Colombia	Колумбия
174	Comoros	Коморы
175	Mayotte	Майотта
178	Republic of the Congo	Конго
180	Democratic Republic of the Congo	Демократическая Республика Конго
184	Cook Islands	Острова Кука
188	Costa Rica	Коста Рика
191	Croatia	Хорватия
192	Cuba	Куба
196	Cyprus	Кипр
203	Czech Republic	Чехия
204	Benin	nameme
208	Denmark	Дания
212	Dominica	Доминика
214	Dominican Republic	Доминиканская Республика
218	Ecuador	Эквадор
222	El Salvador	Сальвадор
226	Equatorial Guinea	Экваториальная Гвинея
231	Ethiopia	Эфиопия
232	Eritrea	Эритрея
233	Estonia	Эстония
234	Faroe Islands	Фарерские острова
238	Falkland Islands	Фолклендские острова
239	South Georgia and the South Sandwich Islands	Южная Георгия и Южные Сандвичевы Острова
242	Fiji	Фиджи
246	Finland	Финляндия
248	Aland Islands	Аландские острова
250	France	Франция
258	French Polynesia	Полинезия
260	French Southern Territories	Французские Южные и Антарктические территории
262	Djibouti	Джибути
266	Gabon	Габон
268	Georgia	Грузия
270	Gambia	Гамбия
275	Palestinian Territory	Палестинские территории
276	Germany	Германия
288	Ghana	Гана
292	Gibraltar	Гибралтар
296	Kiribati	Кирибати
300	Greece	Греция
304	Greenland [Denmark]	Гринландия [Дания]
308	Grenada	Гренада
312	Guadeloupe	Гваделупа
316	Guam	Гуам
320	Guatemala	Гватемала
324	Guinea	Гвинея
328	Guyana	Гайана
332	Haiti	Гаити
334	Heard Island and McDonald Islands	Остров Херд и острова Макдональд
336	Vatican City	Ватикан
340	Honduras	Гондурас
344	Hong Kong	Гонконг
348	Hungary	Венгрия
352	Iceland	Исландия
356	India	Индия
360	Indonesia	Индонезия
364	Iran	Иран
368	Iraq	Ирак
372	Ireland	Ирландия
376	Israel	Израиль
380	Italy	Италия
384	Ivory Coast	Кот-д’Ивуар
388	Jamaica	Ямайка
392	Japan	Япония
398	Kazakhstan	Казахстан
400	Jordan	Иордания
404	Kenya	Кения
408	North Korea	Северная Корея
410	South Korea	Южная Корея
414	Kuwait	Кувейт
417	Kyrgyzstan	Киргизия
418	Laos	Лаос
422	Lebanon	Ливан
426	Lesotho	Лесото
428	Latvia	Латвия
430	Liberia	Либерия
434	Libya	Ливия
438	Liechtenstein	Лихтенштейн
440	Lithuania	Литва
442	Luxembourg	nameme
446	Macao	Макао
450	Madagascar	Мадагаскар
454	Malawi	Малави
458	Malaysia	Малайзия
462	Maldives	Мальдивы
466	Mali	Мали
470	Malta	Мальта
474	Martinique	Мартиника
